Data;N1;N2;N3;N4;N5;N6
02/04/2016;17;22;27;31;49;57
06/04/2016;11;20;35;42;55;58
09/04/2016;1;15;16;22;25;43
13/04/2016;2;14;20;25;41;45
16/04/2016;9;12;23;24;46;54
20/04/2016;1;10;25;43;50;56
23/04/2016;5;17;32;35;37;57
27/04/2016;20;23;32;34;37;45
30/04/2016;9;11;13;15;19;51
03/05/2016;9;11;27;46;51;53
05/05/2016;8;11;25;39;41;60
07/05/2016;5;10;12;22;28;46
11/05/2016;1;4;26;39;47;55
14/05/2016;2;6;10;15;53;56
18/05/2016;17;18;26;30;33;37
21/05/2016;3;19;23;27;40;45
25/05/2016;19;22;31;36;52;53
28/05/2016;1;22;26;43;50;53
01/06/2016;4;9;21;34;54;59
04/06/2016;5;6;12;19;30;60
07/06/2016;10;11;21;50;51;54
09/06/2016;17;19;32;43;48;51
11/06/2016;26;33;42;43;53;54
15/06/2016;6;11;32;40;48;59
18/06/2016;7;13;24;30;32;53
22/06/2016;3;7;29;37;54;60
25/06/2016;15;27;28;32;48;55
29/06/2016;14;34;46;47;56;57
02/07/2016;2;3;7;16;27;42
06/07/2016;2;17;22;24;48;51
09/07/2016;8;28;36;47;50;58
12/07/2016;8;15;18;45;59;60
14/07/2016;41;44;48;50;54;57
16/07/2016;5;8;24;30;57;59
20/07/2016;7;22;28;32;56;58
23/07/2016;15;17;33;41;47;48
27/07/2016;3;6;13;38;49;51
30/07/2016;16;18;22;24;34;43
03/08/2016;8;26;28;33;41;54
06/08/2016;3;4;37;39;48;50
09/08/2016;3;9;13;29;30;51
11/08/2016;6;24;26;30;34;49
13/08/2016;1;6;45;49;50;57
17/08/2016;9;40;41;50;55;58
20/08/2016;3;5;11;27;35;44
24/08/2016;23;24;32;38;40;41
27/08/2016;8;18;21;22;35;37
31/08/2016;13;17;29;45;49;50
03/09/2016;1;2;34;39;41;45
08/09/2016;25;30;31;34;43;59
10/09/2016;6;10;15;24;38;39
14/09/2016;2;9;14;22;32;37
17/09/2016;13;23;25;35;52;53
20/09/2016;22;28;30;33;55;59
22/09/2016;1;13;14;21;26;51
24/09/2016;10;30;36;40;44;60
28/09/2016;2;4;9;35;45;60
01/10/2016;2;8;35;42;49;56
05/10/2016;16;23;45;56;58;59
08/10/2016;4;5;14;37;40;60
13/10/2016;1;5;31;32;37;42
15/10/2016;14;17;36;38;44;60
18/10/2016;3;10;17;21;22;43
20/10/2016;1;5;23;25;28;31
22/10/2016;11;23;24;26;40;52
26/10/2016;18;20;30;32;33;40
29/10/2016;3;11;17;33;52;58
03/11/2016;11;13;25;39;46;56
05/11/2016;5;25;28;41;53;54
08/11/2016;10;28;37;43;44;47
10/11/2016;1;45;47;52;53;55
12/11/2016;7;18;39;41;44;51
16/11/2016;13;16;23;24;32;35
19/11/2016;12;16;26;40;56;57
23/11/2016;5;10;20;57;58;59
26/11/2016;5;16;19;37;51;56
30/11/2016;3;10;30;44;53;56
03/12/2016;9;10;19;35;37;41
07/12/2016;16;27;28;47;59;60
10/12/2016;1;4;23;32;38;59
14/12/2016;7;14;18;23;32;59
17/12/2016;3;7;15;40;45;54
20/12/2016;11;23;34;41;46;56
22/12/2016;1;10;17;18;45;48
24/12/2016;16;23;25;28;30;44
31/12/2016;5;11;22;24;51;53
04/01/2017;1;3;19;23;47;58
07/01/2017;6;17;22;30;37;50
11/01/2017;16;17;19;28;45;58
14/01/2017;21;31;35;53;54;57
18/01/2017;2;3;5;10;15;34
21/01/2017;3;6;14;15;21;25
25/01/2017;9;22;25;47;52;58
28/01/2017;12;34;45;53;55;58
01/02/2017;20;23;35;36;44;48
04/02/2017;8;11;27;28;43;46
08/02/2017;11;12;26;30;37;53
11/02/2017;2;7;9;18;21;25
15/02/2017;9;10;15;28;43;45
18/02/2017;12;15;18;21;51;56
21/02/2017;29;35;43;54;56;57
23/02/2017;6;27;33;39;40;60
25/02/2017;3;25;35;38;44;48
01/03/2017;4;10;13;23;27;57
04/03/2017;11;40;43;45;47;57
08/03/2017;6;9;15;22;39;48
11/03/2017;16;18;23;30;32;33
15/03/2017;10;13;33;35;36;42
18/03/2017;4;14;17;43;52;56
22/03/2017;16;29;33;39;42;44
25/03/2017;2;20;21;33;48;57
29/03/2017;3;9;18;23;50;52
01/04/2017;4;21;25;33;36;46
05/04/2017;16;17;20;22;38;50
08/04/2017;11;28;37;45;54;60
12/04/2017;25;31;33;39;43;45
15/04/2017;10;15;16;19;28;35
19/04/2017;20;22;36;38;41;43
22/04/2017;9;34;42;45;46;59
26/04/2017;12;16;30;52;53;58
29/04/2017;1;17;38;43;45;47
03/05/2017;2;3;14;20;30;46
06/05/2017;5;11;13;19;30;31
09/05/2017;10;26;28;51;53;59
11/05/2017;3;10;23;36;43;52
13/05/2017;4;17;18;37;52;56
17/05/2017;2;8;9;15;22;34
20/05/2017;10;16;21;29;44;55
24/05/2017;2;14;15;19;35;59
27/05/2017;8;23;35;39;56;59
31/05/2017;1;3;10;17;23;24
03/06/2017;3;12;24;40;51;52
07/06/2017;6;10;24;29;43;55
10/06/2017;10;16;32;40;42;54
14/06/2017;7;24;29;39;45;52
17/06/2017;9;13;16;17;36;47
21/06/2017;1;9;24;38;48;49
24/06/2017;6;18;20;24;43;48
28/06/2017;9;11;12;30;39;43
01/07/2017;8;9;39;47;57;59
04/07/2017;4;8;10;21;45;54
06/07/2017;4;6;39;44;52;60
08/07/2017;8;33;40;52;55;59
12/07/2017;12;20;24;28;33;57
15/07/2017;1;6;14;22;30;56
19/07/2017;10;21;32;34;48;57
22/07/2017;14;16;19;21;33;55
26/07/2017;9;21;36;38;52;53
29/07/2017;9;26;29;42;43;45
02/08/2017;9;25;33;35;40;49
05/08/2017;15;27;33;36;41;45
08/08/2017;5;8;20;28;40;45
10/08/2017;2;14;22;23;29;47
12/08/2017;15;20;22;24;34;55
16/08/2017;8;21;27;35;43;56
19/08/2017;1;18;25;37;39;43
23/08/2017;17;25;26;30;32;50
26/08/2017;5;6;15;25;39;53
30/08/2017;4;5;7;34;42;60
02/09/2017;2;27;32;36;48;50
06/09/2017;26;28;35;38;48;55
09/09/2017;10;13;19;32;40;60
13/09/2017;13;30;32;39;46;54
16/09/2017;35;36;39;44;48;52
19/09/2017;8;20;30;32;48;59
21/09/2017;5;10;18;24;39;52
23/09/2017;4;10;41;44;52;54
27/09/2017;9;16;20;54;57;59
30/09/2017;1;12;16;17;52;60
04/10/2017;4;19;27;38;54;57
07/10/2017;8;11;24;26;47;57
11/10/2017;12;14;19;25;52;59
14/10/2017;3;16;28;32;34;37
17/10/2017;2;6;22;44;55;57
19/10/2017;22;23;29;32;38;45
21/10/2017;12;16;17;18;34;37
25/10/2017;6;15;19;37;39;53
28/10/2017;4;14;20;24;46;50
01/11/2017;5;6;10;14;22;36
04/11/2017;21;29;32;35;43;50
07/11/2017;9;28;29;34;36;55
09/11/2017;23;36;43;44;55;56
11/11/2017;10;14;31;34;45;58
16/11/2017;5;10;39;42;46;54
18/11/2017;15;22;30;32;40;58
22/11/2017;11;24;26;34;37;59
25/11/2017;19;20;28;34;36;44
29/11/2017;5;11;13;21;53;54
02/12/2017;6;17;33;48;50;57
06/12/2017;2;5;12;32;40;44
09/12/2017;14;26;29;35;37;39
13/12/2017;7;20;21;24;40;56
16/12/2017;1;7;14;31;35;46
19/12/2017;8;21;24;25;52;57
21/12/2017;15;37;38;42;49;50
31/12/2017;3;6;10;17;34;37
03/01/2018;20;22;36;42;52;60
06/01/2018;4;28;30;38;46;59
10/01/2018;28;34;40;43;50;51
13/01/2018;1;5;14;23;35;45
17/01/2018;11;19;22;33;34;53
20/01/2018;1;9;14;20;25;54
24/01/2018;4;14;39;41;54;58
27/01/2018;22;27;33;42;58;59
31/01/2018;1;37;44;46;48;50
03/02/2018;8;10;18;34;39;56
06/02/2018;2;28;32;35;54;58
08/02/2018;8;11;27;35;36;51
10/02/2018;6;23;30;36;53;56
14/02/2018;16;32;40;46;53;56
17/02/2018;17;18;27;32;39;58
21/02/2018;4;11;17;18;21;48
24/02/2018;2;10;11;24;38;56
28/02/2018;11;22;25;27;55;59
03/03/2018;23;41;46;52;54;59
07/03/2018;2;36;46;48;57;60
10/03/2018;7;14;32;37;40;60
14/03/2018;4;28;45;48;52;60
17/03/2018;1;6;7;8;23;56
21/03/2018;16;20;23;29;35;47
24/03/2018;4;24;46;52;55;56
28/03/2018;10;23;31;33;51;52
31/03/2018;11;15;29;37;39;44
04/04/2018;7;11;24;36;42;58
07/04/2018;6;15;18;33;37;40
11/04/2018;4;27;38;40;58;59
14/04/2018;18;23;37;39;50;55
17/04/2018;6;14;19;20;39;53
20/04/2018;10;18;33;38;40;43
25/04/2018;6;7;13;17;22;56
28/04/2018;30;35;36;38;49;52
02/05/2018;7;8;19;23;27;58
05/05/2018;14;16;23;30;45;60
08/05/2018;6;25;26;35;38;40
10/05/2018;6;12;22;28;31;44
12/05/2018;6;9;41;54;56;58
16/05/2018;10;12;22;25;42;54
19/05/2018;14;22;29;32;33;35
23/05/2018;21;38;53;56;57;58
26/05/2018;7;14;47;54;56;60
30/05/2018;15;25;27;45;46;50
02/06/2018;3;6;11;27;28;46
06/06/2018;1;18;19;29;44;54
09/06/2018;10;19;26;35;38;39
13/06/2018;10;19;27;31;51;53
16/06/2018;8;31;32;33;38;50
20/06/2018;1;5;6;37;44;53
23/06/2018;50;51;56;57;58;59
27/06/2018;12;22;27;37;40;55
30/06/2018;4;7;12;22;26;39
03/07/2018;6;25;35;43;46;53
05/07/2018;18;22;29;34;36;47
07/07/2018;10;13;20;37;38;54
11/07/2018;4;19;23;29;56;59
14/07/2018;4;5;36;40;44;56
18/07/2018;8;9;11;25;39;41
21/07/2018;33;36;40;44;45;54
25/07/2018;8;10;15;23;25;34
28/07/2018;6;10;19;24;25;29
01/08/2018;10;14;36;53;55;60
04/08/2018;4;11;20;30;37;43
08/08/2018;6;25;27;35;45;55
11/08/2018;2;11;13;26;32;59
14/08/2018;3;5;9;40;42;47
16/08/2018;3;17;34;35;40;48
18/08/2018;5;26;27;34;42;48
22/08/2018;24;33;34;35;46;60
25/08/2018;10;12;13;20;22;54
29/08/2018;12;15;18;30;52;55
01/09/2018;8;18;23;37;42;58
05/09/2018;7;9;23;33;57;59
08/09/2018;5;6;12;15;22;43
12/09/2018;13;16;26;35;37;39
15/09/2018;2;11;15;30;36;39
18/09/2018;1;2;14;37;55;58
20/09/2018;10;22;40;46;55;58
22/09/2018;13;18;35;40;41;42
26/09/2018;6;25;33;42;48;49
29/09/2018;1;18;19;33;56;60
03/10/2018;7;20;26;37;38;39
06/10/2018;12;21;25;37;38;49
10/10/2018;4;35;43;46;47;53
13/10/2018;2;18;19;23;34;53
17/10/2018;3;14;24;27;38;56
20/10/2018;5;10;32;38;48;49
23/10/2018;8;11;18;37;40;51
25/10/2018;10;11;12;37;38;59
27/10/2018;11;13;15;17;22;27
31/10/2018;8;14;27;34;52;54
03/11/2018;4;16;19;31;33;44
07/11/2018;16;29;35;43;49;56
10/11/2018;6;11;13;19;24;51
14/11/2018;9;24;28;45;49;51
17/11/2018;2;8;18;27;38;60
21/11/2018;5;15;20;27;30;58
24/11/2018;1;10;11;13;35;49
28/11/2018;2;8;18;37;56;58
01/12/2018;4;6;17;34;51;57
04/12/2018;3;13;40;44;46;50
06/12/2018;2;10;12;27;45;56
08/12/2018;11;13;16;24;31;46
12/12/2018;3;27;36;39;40;43
15/12/2018;8;38;44;50;56;60
18/12/2018;19;22;29;41;44;59
20/12/2018;4;12;16;34;44;49
31/12/2018;5;10;12;18;25;33
02/01/2019;1;41;44;46;54;58
05/01/2019;17;39;43;46;52;53
09/01/2019;11;14;21;25;46;50
12/01/2019;17;25;30;35;42;57
15/01/2019;4;19;27;35;40;44
17/01/2019;1;9;19;21;34;54
19/01/2019;4;28;29;30;43;52
23/01/2019;11;12;20;40;41;46
26/01/2019;19;21;26;31;42;49
30/01/2019;13;20;24;25;38;41
02/02/2019;8;10;17;29;37;40
06/02/2019;3;11;15;21;27;49
09/02/2019;14;15;47;50;56;59
13/02/2019;2;11;20;31;43;47
16/02/2019;1;31;44;46;53;58
20/02/2019;7;12;24;27;39;58
23/02/2019;1;7;28;30;44;46
26/02/2019;11;16;24;46;54;55
28/02/2019;6;12;31;32;46;60
02/03/2019;13;16;36;53;54;55
06/03/2019;2;3;6;18;20;28
09/03/2019;5;18;30;35;39;60
13/03/2019;19;20;26;51;52;57
16/03/2019;6;21;34;46;54;59
20/03/2019;9;23;28;40;48;59
23/03/2019;1;8;11;22;30;35
27/03/2019;1;2;11;12;34;49
30/03/2019;4;13;14;21;30;34
03/04/2019;14;23;29;41;57;58
06/04/2019;17;20;26;36;42;54
10/04/2019;10;11;17;19;37;41
13/04/2019;7;40;44;50;52;57
17/04/2019;2;12;35;51;57;58
20/04/2019;7;16;21;33;55;60
24/04/2019;6;8;28;51;53;59
27/04/2019;16;18;31;39;42;44
02/05/2019;17;19;37;41;42;49
04/05/2019;8;15;32;33;58;59
08/05/2019;21;23;37;44;46;48
11/05/2019;23;24;26;38;42;49
15/05/2019;2;14;18;29;36;38
18/05/2019;26;29;36;49;50;59
22/05/2019;8;13;28;31;32;33
25/05/2019;7;25;41;47;50;53
29/05/2019;2;6;27;37;44;47
01/06/2019;1;6;23;26;39;49
05/06/2019;31;33;34;35;39;48
08/06/2019;9;27;35;45;46;59
12/06/2019;14;26;35;38;45;53
15/06/2019;1;19;46;47;49;53
19/06/2019;8;9;10;24;42;44
22/06/2019;11;16;22;30;34;42
26/06/2019;8;18;20;24;36;45
29/06/2019;16;17;25;47;48;58
03/07/2019;5;37;43;49;54;56
06/07/2019;3;19;34;44;56;58
09/07/2019;27;37;38;43;45;54
11/07/2019;1;4;25;27;29;37
13/07/2019;7;34;45;51;54;59
17/07/2019;10;21;24;36;38;51
20/07/2019;12;13;19;36;44;55
24/07/2019;9;24;28;37;43;57
27/07/2019;2;9;42;44;48;50
31/07/2019;10;15;34;36;56;60
03/08/2019;7;25;32;43;53;55
06/08/2019;8;23;25;39;43;44
08/08/2019;9;11;14;31;48;51
10/08/2019;2;16;21;42;50;56
14/08/2019;2;13;24;35;50;54
17/08/2019;10;12;16;21;28;38
21/08/2019;1;8;19;33;36;48
24/08/2019;19;22;39;46;47;59
28/08/2019;13;26;30;34;43;51
31/08/2019;15;36;45;51;52;59
04/09/2019;9;18;19;22;42;47
09/09/2019;12;18;19;27;41;46
11/09/2019;10;11;16;21;46;50
14/09/2019;2;17;21;28;51;60
18/09/2019;4;11;16;22;29;33
21/09/2019;5;9;20;25;35;53
24/09/2019;4;8;26;33;46;53
26/09/2019;7;16;37;53;57;59
28/09/2019;7;8;22;27;29;42
02/10/2019;8;16;20;21;31;34
05/10/2019;14;24;32;38;46;53
09/10/2019;1;25;27;28;41;56
14/10/2019;3;11;29;35;44;57
16/10/2019;1;11;34;36;44;56
19/10/2019;15;23;30;35;38;44
22/10/2019;11;15;28;36;43;55
24/10/2019;3;13;23;41;49;53
26/10/2019;11;29;37;38;43;60
30/10/2019;17;34;46;49;50;57
04/11/2019;1;28;29;32;35;56
06/11/2019;12;21;28;37;42;57
09/11/2019;6;27;38;42;45;57
13/11/2019;6;10;11;43;53;55
16/11/2019;16;25;30;40;45;49
20/11/2019;22;25;28;32;33;47
23/11/2019;11;17;24;25;33;34
27/11/2019;27;36;40;41;44;54
30/11/2019;23;26;51;52;53;58
04/12/2019;5;7;10;32;46;60
07/12/2019;4;10;18;30;34;47
11/12/2019;1;19;21;23;33;43
14/12/2019;10;24;42;43;48;49
17/12/2019;10;14;16;30;32;36
19/12/2019;6;16;22;38;48;52
21/12/2019;8;28;36;45;57;59
31/12/2019;3;35;38;40;57;58
04/01/2020;5;23;34;45;56;57
08/01/2020;13;14;29;30;48;59
11/01/2020;2;26;40;42;49;56
15/01/2020;16;23;32;50;52;58
18/01/2020;1;32;37;44;46;47
21/01/2020;2;4;7;16;30;38
23/01/2020;6;9;12;27;32;57
25/01/2020;9;19;23;32;39;45
29/01/2020;6;11;29;40;41;58
01/02/2020;7;17;26;39;56;60
05/02/2020;4;13;25;40;53;57
08/02/2020;7;8;31;34;38;47
12/02/2020;4;6;32;35;41;45
15/02/2020;4;21;27;29;42;47
19/02/2020;14;18;30;35;55;57
22/02/2020;7;20;38;43;45;53
27/02/2020;11;20;27;28;53;60
29/02/2020;11;36;45;55;57;58
04/03/2020;7;27;31;39;45;46
07/03/2020;7;9;10;19;25;58
10/03/2020;1;13;18;26;40;56
12/03/2020;5;9;18;24;25;42
14/03/2020;14;18;28;35;38;54
18/03/2020;3;5;11;34;37;42
21/03/2020;11;14;15;18;33;34
25/03/2020;5;9;24;27;33;46
28/03/2020;1;42;44;47;48;53
01/04/2020;9;15;20;29;30;42
04/04/2020;4;9;31;47;49;53
08/04/2020;27;33;39;52;57;58
11/04/2020;5;15;22;26;54;58
15/04/2020;1;17;30;37;46;50
18/04/2020;31;32;33;39;52;55
22/04/2020;4;9;24;44;47;56
25/04/2020;15;20;39;41;49;57
29/04/2020;9;10;30;37;47;54
02/05/2020;18;21;30;31;34;51
05/05/2020;1;5;7;14;23;26
07/05/2020;20;27;41;54;56;58
09/05/2020;12;14;34;35;37;47
13/05/2020;7;23;26;27;29;51
16/05/2020;7;8;14;23;30;46
20/05/2020;9;24;33;43;49;57
23/05/2020;2;3;8;19;29;37
27/05/2020;14;20;23;39;46;50
30/05/2020;10;23;31;37;58;59
03/06/2020;20;32;33;48;49;53
06/06/2020;4;13;23;28;30;52
10/06/2020;1;11;14;23;29;55
13/06/2020;14;16;38;39;41;48
17/06/2020;6;10;27;28;41;52
20/06/2020;2;5;11;24;41;49
24/06/2020;15;16;20;38;40;58
27/06/2020;8;11;17;33;40;55
01/07/2020;2;4;25;36;50;53
04/07/2020;5;15;18;27;49;57
08/07/2020;10;22;23;37;53;60
11/07/2020;8;17;34;37;43;45
14/07/2020;5;12;14;20;27;28
16/07/2020;28;29;31;50;58;59
18/07/2020;14;27;35;40;50;55
22/07/2020;12;27;30;36;45;52
25/07/2020;4;24;37;43;59;60
29/07/2020;4;10;12;14;36;46
01/08/2020;1;7;10;12;33;42
05/08/2020;9;21;30;41;42;43
08/08/2020;2;4;6;29;41;56
11/08/2020;2;26;35;39;40;56
13/08/2020;6;9;34;37;38;45
15/08/2020;5;18;36;44;57;60
19/08/2020;12;26;31;36;37;49
22/08/2020;6;16;18;33;42;57
26/08/2020;1;2;10;37;42;48
29/08/2020;9;15;20;33;41;43
02/09/2020;6;13;26;28;35;41
05/09/2020;1;6;21;29;36;59
09/09/2020;20;22;35;40;41;59
12/09/2020;13;17;21;31;41;49
15/09/2020;2;3;19;40;44;60
17/09/2020;9;21;37;39;43;54
19/09/2020;17;18;35;36;47;52
23/09/2020;18;22;25;27;43;44
26/09/2020;3;7;17;20;48;50
30/09/2020;12;21;29;54;56;57
03/10/2020;7;16;22;38;55;57
07/10/2020;3;19;28;33;57;58
10/10/2020;16;33;38;46;53;55
14/10/2020;9;13;26;38;58;60
17/10/2020;9;11;29;30;33;60
20/10/2020;13;17;28;29;42;53
22/10/2020;3;5;9;35;43;60
24/10/2020;3;27;39;46;47;60
28/10/2020;3;20;26;45;49;58
31/10/2020;6;7;28;42;45;49
04/11/2020;1;10;17;26;30;53
07/11/2020;2;11;43;49;52;56
11/11/2020;3;8;30;33;35;48
14/11/2020;28;44;52;54;58;60
18/11/2020;6;17;25;35;40;49
21/11/2020;6;30;35;39;42;48
25/11/2020;14;25;28;41;43;46
28/11/2020;2;5;10;29;34;41
02/12/2020;20;27;35;39;50;59
05/12/2020;2;16;19;31;43;60
08/12/2020;33;34;37;46;52;60
10/12/2020;10;16;27;34;36;57
12/12/2020;30;37;45;54;57;58
16/12/2020;8;11;14;39;48;53
19/12/2020;12;14;28;42;45;55
31/12/2020;17;20;22;35;41;42
02/01/2021;11;13;16;36;53;57
06/01/2021;12;33;35;36;44;52
09/01/2021;9;16;31;41;53;55
13/01/2021;4;13;20;22;25;60
16/01/2021;9;18;23;42;47;49
20/01/2021;8;10;20;27;28;50
23/01/2021;2;9;34;49;51;55
26/01/2021;8;21;23;34;42;47
28/01/2021;4;18;29;47;48;59
30/01/2021;16;21;28;41;49;51
03/02/2021;4;9;31;32;42;46
06/02/2021;17;20;24;27;40;60
10/02/2021;4;31;42;45;49;56
13/02/2021;11;17;25;38;52;57
17/02/2021;7;16;19;22;28;55
20/02/2021;3;4;11;40;42;58
24/02/2021;8;9;17;30;58;60
27/02/2021;2;3;7;48;51;54
03/03/2021;5;10;25;32;49;54
06/03/2021;25;28;29;34;41;45
10/03/2021;19;22;35;41;47;49
13/03/2021;9;17;38;41;49;55
17/03/2021;3;19;34;41;48;53
20/03/2021;6;18;25;30;42;54
24/03/2021;7;30;31;41;50;56
27/03/2021;3;10;25;36;51;58
31/03/2021;19;28;30;34;40;51
03/04/2021;5;9;11;16;43;57
06/04/2021;31;32;39;42;43;51
08/04/2021;10;15;21;24;29;45
10/04/2021;14;21;22;29;35;46
14/04/2021;3;20;22;32;35;50
17/04/2021;6;14;24;34;39;58
22/04/2021;20;33;42;44;51;56
24/04/2021;1;17;28;37;44;50
28/04/2021;4;27;33;35;38;41
30/04/2021;5;23;29;34;53;60
04/05/2021;4;7;13;25;36;58
06/05/2021;4;9;17;19;37;60
08/05/2021;7;31;37;42;44;56
12/05/2021;4;15;30;36;39;48
15/05/2021;3;19;25;44;46;57
19/05/2021;23;24;26;44;49;60
22/05/2021;12;13;25;37;39;41
26/05/2021;2;6;44;46;53;58
29/05/2021;12;14;17;18;19;22
02/06/2021;5;18;29;35;43;44
05/06/2021;11;37;38;41;49;54
09/06/2021;2;8;26;32;46;56
12/06/2021;11;16;20;24;39;53
16/06/2021;7;23;32;41;42;47
19/06/2021;6;9;19;38;53;55
23/06/2021;13;15;16;20;40;41
26/06/2021;9;13;22;25;26;31
29/06/2021;12;24;32;37;43;60
01/07/2021;11;13;16;35;49;50
03/07/2021;8;26;30;31;38;48
07/07/2021;8;30;33;37;45;48
10/07/2021;16;30;37;39;40;51
14/07/2021;9;13;20;22;32;56
17/07/2021;5;8;13;27;36;50
21/07/2021;11;15;23;25;34;53
24/07/2021;26;27;28;32;38;51
28/07/2021;5;16;25;36;42;44
31/07/2021;4;11;12;44;45;57
04/08/2021;2;3;25;39;42;49
07/08/2021;6;14;20;39;46;48
10/08/2021;8;17;30;36;54;59
12/08/2021;27;35;42;44;51;52
14/08/2021;9;21;25;26;36;53
18/08/2021;8;11;13;33;38;48
21/08/2021;6;22;25;29;30;60
25/08/2021;10;12;14;32;33;34
28/08/2021;1;19;35;40;47;54
01/09/2021;21;38;48;49;53;59
04/09/2021;8;12;29;43;54;60
08/09/2021;13;17;31;43;54;55
11/09/2021;4;29;30;38;43;57
15/09/2021;2;29;39;49;52;58
18/09/2021;7;10;27;35;43;59
22/09/2021;7;26;29;34;43;44
25/09/2021;9;16;34;36;49;60
28/09/2021;3;22;37;40;41;48
30/09/2021;4;5;6;14;29;38
02/10/2021;10;12;26;29;35;60
06/10/2021;6;7;11;26;37;57
09/10/2021;3;7;10;11;27;46
13/10/2021;2;11;19;27;57;60
16/10/2021;10;35;43;48;50;53
19/10/2021;5;8;29;39;44;60
21/10/2021;2;3;32;35;48;57
23/10/2021;2;7;10;20;30;46
27/10/2021;16;18;38;48;51;60
30/10/2021;3;16;17;37;38;53
03/11/2021;10;31;38;46;49;54
06/11/2021;5;11;24;27;32;57
10/11/2021;3;19;25;37;44;56
13/11/2021;3;9;25;28;29;39
17/11/2021;11;37;53;55;56;60
20/11/2021;19;26;39;45;46;56
24/11/2021;8;11;22;25;26;36
27/11/2021;7;29;38;40;44;52
01/12/2021;8;9;32;52;53;57
04/12/2021;1;2;14;28;40;51
07/12/2021;5;22;30;32;33;36
09/12/2021;5;15;28;32;38;54
11/12/2021;1;19;41;46;48;55
15/12/2021;4;11;19;25;37;55
18/12/2021;2;8;34;38;47;51
31/12/2021;12;15;23;32;33;46
05/01/2022;9;41;42;46;47;54
08/01/2022;2;7;9;25;41;49
12/01/2022;1;5;12;13;17;31
15/01/2022;15;17;20;35;37;43
19/01/2022;11;25;32;37;47;56
22/01/2022;1;13;27;41;51;58
25/01/2022;13;19;29;42;49;52
27/01/2022;18;30;32;35;40;48
29/01/2022;14;20;21;31;49;52
02/02/2022;2;6;11;15;17;39
05/02/2022;13;26;31;46;51;60
09/02/2022;8;10;51;56;57;58
12/02/2022;10;14;15;24;34;44
16/02/2022;9;14;22;24;44;47
19/02/2022;21;38;50;53;56;59
22/02/2022;28;34;40;41;52;55
24/02/2022;10;19;46;47;49;50
26/02/2022;15;40;44;45;47;51
03/03/2022;15;24;33;49;53;59
05/03/2022;16;17;18;28;35;47
09/03/2022;8;11;16;21;32;37
12/03/2022;3;16;23;41;45;57
16/03/2022;11;16;31;37;42;51
19/03/2022;2;7;24;43;52;56
23/03/2022;3;8;23;29;53;54
26/03/2022;2;3;13;20;53;54
30/03/2022;1;10;19;34;35;45
02/04/2022;22;35;41;42;53;57
06/04/2022;5;28;30;38;52;55
09/04/2022;8;33;40;42;48;51
13/04/2022;8;23;29;30;36;55
16/04/2022;5;13;18;23;35;36
20/04/2022;15;18;28;42;55;60
23/04/2022;22;30;38;39;49;56
26/04/2022;1;40;44;45;58;60
28/04/2022;2;7;32;46;49;55
30/04/2022;20;33;37;38;49;50
04/05/2022;2;17;23;28;39;46
07/05/2022;10;15;17;20;21;35
11/05/2022;4;6;9;31;50;56
14/05/2022;1;8;21;27;36;37
18/05/2022;1;32;35;44;45;57
21/05/2022;20;34;38;40;49;54
25/05/2022;11;14;36;41;54;59
28/05/2022;5;12;32;38;47;60
31/05/2022;8;9;17;19;33;56
02/06/2022;23;36;42;48;54;58
04/06/2022;17;31;34;40;56;57
08/06/2022;3;10;13;25;41;42
11/06/2022;11;16;17;41;46;59
15/06/2022;22;29;38;43;48;53
18/06/2022;10;30;31;33;42;52
22/06/2022;4;9;37;43;44;56
25/06/2022;1;4;10;22;53;54
28/06/2022;8;12;14;30;33;41
30/06/2022;7;26;31;38;46;58
02/07/2022;5;14;23;46;48;52
06/07/2022;9;12;26;29;46;47
09/07/2022;11;19;38;47;56;59
13/07/2022;5;16;25;32;39;55
16/07/2022;11;27;32;40;58;59
20/07/2022;16;20;21;39;44;55
23/07/2022;3;14;16;38;43;45
27/07/2022;14;33;41;42;44;55
30/07/2022;3;5;19;26;43;51
02/08/2022;21;22;29;34;40;44
04/08/2022;4;6;12;34;35;53
06/08/2022;41;45;48;51;53;58
10/08/2022;8;37;39;50;59;60
13/08/2022;8;13;25;32;44;57
17/08/2022;4;10;15;39;41;49
20/08/2022;7;10;34;47;49;52
24/08/2022;13;19;21;35;46;50
27/08/2022;5;15;24;34;45;52
31/08/2022;3;12;19;41;45;54
03/09/2022;8;17;49;51;52;53
08/09/2022;1;5;6;16;22;39
10/09/2022;3;22;23;44;53;60
13/09/2022;3;8;20;36;38;57
15/09/2022;2;17;22;41;58;60
17/09/2022;23;28;33;38;55;59
21/09/2022;4;5;25;32;39;40
24/09/2022;1;10;27;36;37;45
28/09/2022;3;20;22;37;41;43
01/10/2022;4;13;21;26;47;51
05/10/2022;2;16;24;38;43;59
08/10/2022;8;19;29;38;48;56
13/10/2022;4;15;22;53;56;60
15/10/2022;3;5;32;56;57;59
18/10/2022;14;17;18;28;30;44
20/10/2022;1;5;18;49;55;56
22/10/2022;10;14;17;18;23;30
26/10/2022;17;18;20;37;45;53
29/10/2022;28;36;39;44;56;60
03/11/2022;1;3;24;37;51;56
05/11/2022;9;22;27;30;33;45
09/11/2022;12;24;26;31;37;48
12/11/2022;6;15;19;20;33;52
16/11/2022;1;23;32;33;36;59
